Shipment Created Date;MAX Delivery Date;ShipmentNo;CustomerCode;CustomerName;City;Distrcit;TC-AMBIENT;ProductCode;ProductName;Pallet;Weight;Channel;DistributionChannel;Division
18.02.2019;23.02.2019;9308331136;6466606;METRO G.MARKET B.KÖY ALÞ.-MERSÝN;MERSÝN;YENÝÞEHÝR;TC;4058855;MKA 85G DARK MILK PLAIN 22CA;0,01;10;OT;20;30
18.02.2019;23.02.2019;9308331128;6510155;YENÝ MAÐAZACILIK AÞ MALATYA DEPO;MALATYA;MERKEZ;TC;4050565;MKA 100G STRAWB YOGH 22CA;0,04;18,64;OT;20;30
18.02.2019;22.02.2019;9308331118;6466398;YENÝ MAÐAZACILIK AÞ TRAKYA;KIRKLARELÝ;LÜLEBURGAZ;TC;4050565;MKA 100G STRAWB YOGH 22CA;0,07;34,95;OT;20;30
18.02.2019;21.02.2019;9308330908;6479706;GÖKBAKAN TARIM HAYV.ÝN.GIDA.YEMEK.;BALIKESÝR;MERKEZ;TC;4000758;BNB 24X24,3G MILKC 12CA;0,24;115,488;DO;40;30
18.02.2019;21.02.2019;9308330908;6479706;GÖKBAKAN TARIM HAYV.ÝN.GIDA.YEMEK.;BALIKESÝR;MERKEZ;TC;355940;MKA 43,75G MILKINIS 20CA;0,01;5,09;DO;40;30
18.02.2019;21.02.2019;9308330908;6479706;GÖKBAKAN TARIM HAYV.ÝN.GIDA.YEMEK.;BALIKESÝR;MERKEZ;TC;355643;MILKA 87.5G MILKINIS 20 BOX;0,01;8,2;DO;40;30
18.02.2019;21.02.2019;9308330908;6479706;GÖKBAKAN TARIM HAYV.ÝN.GIDA.YEMEK.;BALIKESÝR;MERKEZ;TC;4037117;MKA 87G TABLET MINI TUC 18CA;0,05;25,425;DO;40;30
18.02.2019;21.02.2019;9308330908;6479706;GÖKBAKAN TARIM HAYV.ÝN.GIDA.YEMEK.;BALIKESÝR;MERKEZ;TC;4052205;JELB SPK 80G KIDS 24CA M;0,28;150,095;DO;40;30
18.02.2019;21.02.2019;9308330908;6479706;GÖKBAKAN TARIM HAYV.ÝN.GIDA.YEMEK.;BALIKESÝR;MERKEZ;TC;355940;MKA 43,75G MILKINIS 20CA;0,01;7,126;DO;40;30
18.02.2019;21.02.2019;9308330908;6479706;GÖKBAKAN TARIM HAYV.ÝN.GIDA.YEMEK.;BALIKESÝR;MERKEZ;TC;4050584;MKA 100G OREO TBL 22CA;0,06;27,96;DO;40;30
18.02.2019;22.02.2019;9308330909;6479706;GÖKBAKAN TARIM HAYV.ÝN.GIDA.YEMEK.;BALIKESÝR;MERKEZ;AMBIENT;635314;FIRST 340G PEPMI 20CA;0,03;13,193;DO;40;1
18.02.2019;22.02.2019;9308330909;6479706;GÖKBAKAN TARIM HAYV.ÝN.GIDA.YEMEK.;BALIKESÝR;MERKEZ;AMBIENT;4002743;FIRST 12X27G SENSA TROPICAL 20CA;0,02;17,37;DO;40;1
18.02.2019;22.02.2019;9308330909;6479706;GÖKBAKAN TARIM HAYV.ÝN.GIDA.YEMEK.;BALIKESÝR;MERKEZ;AMBIENT;4002730;FIRST 12X27G SENSA SPEAM 20CA;0,07;52,11;DO;40;1
